"都道府県コード又は市区町村コード","NO（※システム内の固有の番号、連番）","指定機関名","法人の名称","法人の名称_かな","法人番号","法人住所（市区町村）","法人住所（番地以降）","法人電話番号","法人FAX番号","法人URL","サービス種別","事業所の名称","事業所の名称_かな","事業所番号","事業所住所（市区町村）","事業所住所（番地以降）","事業所電話番号","事業所FAX番号","事業所URL","事業所緯度","事業所経度","利用可能な時間帯（平日）","利用可能な時間帯（土曜）","利用可能な時間帯（日曜）","利用可能な時間帯（祝日）","定休日","利用可能曜日特記事項（留意事項）","定員"
"01100","E0000009306","札幌市","札幌市","さっぽろし","9000020011002","北海道札幌市中央区","北１条西２丁目札幌市役所本庁舎","011-211-2111",,"https://www.city.sapporo.jp/","医療型児童発達支援","札幌市みかほ整肢園","さっぽろしみかほせいしえん","0150202810","北海道札幌市東区","北１７条東５丁目２番１号","011-731-5674","011-731-5673",,43.08299855,141.35890766,"09:00-15:00","","","","土、日、祝日",,40
"01100","E0000009709","札幌市","札幌市","さっぽろし","9000020011002","北海道札幌市中央区","北１条西２丁目札幌市役所本庁舎","011-211-2111",,"https://www.city.sapporo.jp/","医療型児童発達支援","札幌市ひまわり整肢園","さっぽろしひまわりせいしえん","0150502821","北海道札幌市豊平区","平岸４条１８丁目１−２１","011-824-1922","011-824-1996","",43.02048642,141.37112401,"09:00-15:00","","","","土日祝日",,30
"01100","E0000009711","札幌市","社会福祉法人　楡の会","しゃかいふくしほうじんにれのかい","4430005000584","北海道札幌市厚別区","厚別町下野幌４９番地","011-898-3929","011-898-5109","http://nire.or.jp/","医療型児童発達支援","こもれび園","こもれびえん","0150502870","北海道札幌市厚別区","厚別町下野幌４９番地","011-898-3929","011-898-5109","http://nire.or.jp/",43.04522359,141.49267870,"","","","",,,
"02201","E0000013379","青森市","青森県","あおもりけん","2000020020001","青森県青森市","長島一丁目1-1","017-722-1111",,"http://www.pref.aomori.lg.jp/","医療型児童発達支援","青森県立あすなろ療育福祉センター","あおもりけんりつあすなろりょういくふくしせんたー","0250140019","青森県青森市","大字石江字江渡１０１","017-781-0174","017-766-4396","http://www.pref.aomori.lg.jp/welfare/welfare/asunaro_top.html",40.82142904,140.69828680,"08:45-14:30","","","","土、日、祝日、１２月２９日から１月３日まで",,10
"02203","E0000013451","八戸市","青森県","あおもりけん","2000020020001","青森県青森市","長島一丁目1-1","017-722-1111",,"http://www.pref.aomori.lg.jp/","医療型児童発達支援","青森県立はまなす医療療育センター","あおもりけんりつはまなすいりょうりょういくせんたー","0250340023","青森県八戸市","大字大久保字大塚１７−７２９","0178-31-5005","0178-31-4144",,40.49119592,141.56401854,"","","","",,,40
"07203","A0000008951","郡山市","福島県","ふくしまけん","7000020070009","福島県福島市","杉妻町２番１６号","024-521-8382","024-521-7747","https://www.pref.fukushima.lg.jp/sec/21810a/","医療型児童発達支援","児童発達支援センターおひさま","じどうはったつしえんせんたーおひさま","0750200115","福島県郡山市","富田町字上ノ台4-1","024-951-0250","024-951-0143","https://www.pref.fukushima.lg.jp/sec/21810a/",37.42885577,140.34652006,"09:30-12:00","","","","土日祝日、年末年始",,20
"09201","A0000053083","宇都宮市","宇都宮市","うつのみやし",,"栃木県宇都宮市","旭1-1-5","028-632-2222","028-634-8156","http://www.city.utsunomiya.tochigi.jp","医療型児童発達支援","宇都宮市子ども発達センターかすが園","うつのみやしこどもはったつせんたーかすがえん","0950100032","栃木県宇都宮市","鶴田町970番地1","028-647-4710","028-647-4715","https://www.city.utsunomiya.tochigi.jp",36.55828051,139.85320311,"08:00-17:00","","","","土曜日・日曜日",,20
"09201","A0000012780","宇都宮市","地方独立行政法人栃木県立リハビリテーションセンター（児）","ちほうどくりつぎょうせいほうじんとちぎけんりつりはびりてーしょんせんたー","8060005009437","栃木県宇都宮市","駒生町3337-1こども発達支援センター","028-623-6128","028-623-6129","https://tochigi-riha.jp/","医療型児童発達支援","栃木県立リハビリテーションセンター　こども発達支援センター","とちぎけんりつりはびりてーしょんせんたーこどもはったつしえんせんたー","0950100677","栃木県宇都宮市","駒生町3337-1","028-623-6128","028-623-6129","https://tochigi-riha.jp/",36.58374399,139.84488037,"10:00-14:00","","","","土日祝日、年末年始",,30
"11100","E0000022846","さいたま市","さいたま市","さいたまし","2000020111007","埼玉県さいたま市浦和区","常盤６丁目４−４（さいたま新都心郵便局私書箱第４６号）","048-829-1309","048-829-1981","https://www.city.saitama.jp/006/015/028/003/p032424.html","医療型児童発達支援","さいたま市総合療育センターひまわり学園","さいたましそうごうりょういくせんたーひまわりがくえん","1156510248","埼玉県さいたま市西区","三橋６−１４５０−１","048-622-1211","048-622-4359","http://www.city.saitama.jp/002/003/004/003/007/p060273.html",35.91451495,139.58634060,"09:00-17:00","","","","土日祝祭日及び年末年始",,30
"12100","E0000024665","千葉市","千葉市（社会福祉法人千葉市社会福祉協議会）","ちばし","6000020121002","千葉県千葉市中央区","千葉港１−１","043-245-5227","043-245-5630","https://www.city.chiba.jp/（https://chiba-shakyo.jp）","医療型児童発達支援","千葉市大宮学園たけのこルーム","ちばしおおみやがくえんたけのこるーむ","1250115027","千葉県千葉市若葉区","大宮町３８１６−１","043-263-1560","043-263-2447","https://www.chiba-shakyo.jp/takenoko",35.59654072,140.17348985,"10:00-14:30","","","","土曜日・日曜日・祝日・年末年始",,10
