"都道府県コード又は市区町村コード","NO（※システム内の固有の番号、連番）","指定機関名","法人の名称","法人の名称_かな","法人番号","法人住所（市区町村）","法人住所（番地以降）","法人電話番号","法人FAX番号","法人URL","サービス種別","事業所の名称","事業所の名称_かな","事業所番号","事業所住所（市区町村）","事業所住所（番地以降）","事業所電話番号","事業所FAX番号","事業所URL","事業所緯度","事業所経度","利用可能な時間帯（平日）","利用可能な時間帯（土曜）","利用可能な時間帯（日曜）","利用可能な時間帯（祝日）","定休日","利用可能曜日特記事項（留意事項）","定員"
"01100","E0000000478","札幌市","特定非営利活動法人　ホップ障害者地域生活支援センター","とくていひえいりかつどうほうじんほっぷしょうがいしゃちいきせいかつしえんせんたー","6430005003734","北海道札幌市東区","北１４条東１４丁目２番５号光星ビル","011-748-6220","011-748-6221","http://npo-hop.org/","重度障害者等包括支援","Ｏｒｉｇｉｎ","おりじん","0110201167","北海道札幌市東区","北１４条東１４丁目２番５号光星ビル３階","011-748-6220","011-748-6221","http://www.npo-hop.org/",43.08131861,141.37280945,"","","","",,,
"01000","A0000103508","北海道","社会福祉法人　地域で一緒に暮らそう会","しゃかいふくしほうじんちいきでいっしょにくらそうかい","7460105001948","北海道河東郡音更町","新通４丁目1-7","0155-42-0742","0155-42-4740","http://www.kirakirahouse.com/","重度障害者等包括支援","地域サポートセンターえがお","ちいきさぽーとせんたーえがお","0114702442","北海道河東郡音更町","新通１１丁目１番地６","0155-67-0527","0155-67-0528",,42.99384327,143.20230023,"","","","",,,
"07204","E0000017816","いわき市","特定非営利活動法人いわき自立生活センター","とくていひえいりかつどうほうじんいわきじりつせいかつせんたー",,"福島県いわき市","中央台高久二丁目２６番地の４","0246-68-8925","0246-68-8926","https://www.cil-iwaki.or.jp/","重度障害者等包括支援","ヘルパーステーション未来","へるぱーすてーしょんみらい","0710400490","福島県いわき市","中央台高久二丁目２６番地の４","0246-68-8926","0246-68-8927","http://ciliwaki.wixsite.com/ciliwaki",37.01025353,140.92898236,"","","","",,,
"09000","E0000064433","栃木県","とちのみ会","とちのみかい","4060005006834","栃木県佐野市","小中町1280","0283-22-1969","0283-22-9526","http://www.tochinomi.or.jp","重度障害者等包括支援","とちのみホームヘルプサービス","とちのみほーむへるぷさーびす","0910400068","栃木県佐野市","小中町1870-7","0283-20-6225","0283-22-9526","",36.34133999,139.55608560,"","","","","","",
"13000","E0000075325","東京都","有限会社すばる介護センター","ゆうげんがいしゃすばるかいごせんたー","2010402021087","東京都港区","高輪３−２−３　Ｔ３２３プレイスビル２階","03-5789-2786","03-5789-2787","http://www.subaru-kaigo.co.jp/index.html","重度障害者等包括支援","有限会社すばる介護センター","ゆうげんがいしゃすばるかいごせんたー","1310300072","東京都港区","高輪３−２−３　Ｔ３２３プレイスビル２階","03-5789-2786","03-5789-2787","http://www.subaru-kaigo.co.jp/index.html",35.63079280,139.73785970,"","","","",,,
"20202","E0000026938","松本市","社会福祉法人長野県社会福祉事業団","しゃかいふくしほうじんながのけんしゃかいふくしじぎょうだん","1100005001692","長野県長野市","高田364番地1","026-228-0337","026-228-0310","https://nagano-swc.com/","重度障害者等包括支援","松本ひよこ","まつもとひよこ","2010200745","長野県松本市","波田4417-7","0263-88-6970","0263-92-6970","https://nagano-swc.com/hiyoko/",36.20184690,137.85788670,"","","","",,,
"20000","E0000027010","長野県","社会福祉法人かりがね福祉会","しゃかいふくしほうじんかりがねふくしかい","5100005004345","長野県上田市","真田町長６４３０−１　","0268-72-3431","0268-72-4406","https://karigane.or.jp/","重度障害者等包括支援","かりがね重度障害者包括支援事業","かりがねじゅうどしょうがいしゃほうかつしえんじぎょう","2010300081","長野県上田市","真田町長６４３０−１　","0268-72-8022","0268-72-8022","https://karigane.or.jp/",36.44247599,138.29753774,"","","","",,,
"20000","E0000027059","長野県","特定非営利活動法人シャイン","とくていひえいりかつどうほうじんしゃいん","5100005004411","長野県上田市","岩下５０２番地","0268-27-2796","0268-34-7101","http://npo-syain.com","重度障害者等包括支援","特定非営利活動法人　シャイン","とくていひえいりかつどうほうじんしゃいん","2010300370","長野県上田市","岩下502番地","0268-27-2796","0268-34-7101",,36.36987916,138.28556470,"","","","","","",
"22000","E0000031968","静岡県","社会福祉法人インクルふじ","しゃかいふくしほうじんいんくるふじ","3080105003152","静岡県富士市","伝法86-3","0545-23-1551","0545-22-2666","http://www.incle.jp","重度障害者等包括支援","生活介護事業所でらーと","せいかつかいごじぎょうしょでらーと","2212300061","静岡県富士市","伝法８６−３","0545-23-1551","0545-22-2666","http://www.incle.jp",35.18716463,138.68085200,"","","","",,,
"23100","E0000161266","名古屋市","名古屋キリスト教社会館","なごやきりすときょうしゃかいかん","5180005002829","愛知県名古屋市南区","三吉町6丁目17番地名古屋キリスト教社会館　法人事務局","052-612-3370","052-611-9085","https://shakaikan.com","重度障害者等包括支援","生活支援センターぴぼっと","せいかつしえんせんたーぴぼっと","2318100258","愛知県名古屋市南区","源兵衛町5-18-10ぴぼっと西館","052-613-1306","052-746-0873","https://www.shakaikan.com",35.07089835,136.91832989,"","","","",,,
"25201","E0000036260","大津市","大津市","おおつし","9000020252018","滋賀県大津市","御陵町３番１号","077-527-0479","077-527-0135",,"重度障害者等包括支援","（やまびこ総合支援センター内）生活支援センター","やまびこそうごうしえんせんたーないせいかつしえんせんたー","2510100098","滋賀県大津市","馬場二丁目１３番５０号","077-527-0486","077-527-0334",,35.00018914,135.87836899,"","","","","","",
"26000","E0000104187","京都府","社会福祉法人よさのうみ福祉会","しゃかいふくしほうじんよさのうみふくしかい","6130005009431","京都府与謝郡与謝野町","字岩屋６００番地の６","050-3532-0601","0772-43-0606","http://www.yosanoumi-fukushikai.or.jp/","重度障害者等包括支援","ヘルパーステーション結","へるぱーすてーしょんゆい","2612000014","京都府宮津市","鶴賀2062","0772-22-3915","0772-20-4008",,35.53530129,135.19830788,"","","","",,,
"27100","A0000081835","大阪市","特定非営利活動法人　ココペリ・ワン・ツー・ワン","ここぺりわんつーわん","8120005007855","大阪府大阪市東成区","東中本二丁目３番８号　岩本コーポ２０５号","06-6976-5122","06-6976-5129",,"重度障害者等包括支援","ＮＰＯココペリ１２１","えぬぴーおーここぺりわんつーわん","2711501656","大阪府大阪市東成区","東中本二丁目３番８号岩本コーポ２０５号","06-6976-5122","06-6976-5129",,34.68010341,135.54761148,"","","","",,,
"27215","E0000107642","寝屋川市","特定非営利活動法人　寝屋川市民たすけあいの会","とくていひえいりかつどうほうじんねやがわしみんたすけあいのかい","9120005013225","大阪府寝屋川市","長栄寺町5番1号","072-826-4655","072-838-8032","http://neyagawatasukeai.org","重度障害者等包括支援","ヘルパーステーション「ほっと｣","へるぱーすてーしょんほっと","2710300035","大阪府寝屋川市","長栄寺町5番1号","072-826-4655","072-838-8032","http://neyagawatasukeai.org",34.76552851,135.61282847,"","","","","","",
"20000","E0000028192","長野県","社会福祉法人樅の木福祉会","しゃかいふくしほうじんもみのきふくしかい","8140005002409","兵庫県神戸市西区","神出町南619番地19","078-965-0211","078-965-0868","http://www.mominoki-kobe.net/","重度障害者等包括支援","障害者支援施設山の子学園共同村","しょうがいしゃしえんしせつやまのこがくえんきょうどうむら","2019900055","長野県小県郡長和町","大門３５２７−４","0268-69-2445","0268-69-2116","http://mominoki-kobe.net/",36.12590559,138.24271640,"","","","",,,
"34207","E0000042932","福山市","社会福祉法人まほろば学園","しゃかいふくしほうじんまほろばがくえん","9240005009946","広島県福山市","千田町二丁目１５番２５号","084-982-8585","084-955-8850","https://www.mahoroba-gakuen.jp/","重度障害者等包括支援","障害福祉サービス事業所　風","しょうがいふくしさーびすじぎょうしょかぜ","3411501392","広島県福山市","千田町二丁目15番25号","084-982-8585","084-955-8850","https://www.mahoroba-gakuen.jp/",34.51676244,133.36786701,"","","","",,,
"40130","E0000145565","福岡市","社会福祉法人　葦の家福祉会","しゃかいふくしほうじんあしのいえふくしかい","2290005001319","福岡県福岡市城南区","樋井川4-1-17","092-873-7481","092-834-3362","http://www.ashi.sakura.ne.jp","重度障害者等包括支援","重度障がい者等包括支援事業「りーど」","じゅうどしょうがいしゃとうほうかつしえんじぎょうりーど","4010900019","福岡県福岡市城南区","樋井川４−1−11障がい者地域生活支援センターりーど","092(874)7907","092(874)7910",,33.54858386,130.38660063,"","","","",,,
"44201","A0000068933","大分市","医療法人　謙誠会","いりょうほうじんけんせいかい","9320005000343","大分県大分市","大字野田1111番地博愛病院","097-586-0888","097-586-0889","http://www.hakuai.org/","重度障害者等包括支援","重度障害者等包括支援事業所　ゆめのもり","じゅうどしょうがいしゃとうほうかつしえんじぎょうしょゆめのもり","4410105292","大分県大分市","野田１１０１番地の１","097-586-0888","097-586-0889",,33.19799166,131.54208360,"","","","",,,
"44000","E0000055324","大分県","社会福祉法人こころの樹","しゃかいふくしほうじんこころのき","1320005004211","大分県宇佐市","大字下敷田４４８番地２","0978-32-0631","0978-32-6006",,"重度障害者等包括支援","多機能型施設歩みの会「生活学校」","たきのうがたしせつあゆみのかいせつかつがっこう","4411100318","大分県宇佐市","大字下敷田４４８番地２","0978-32-0631","0978-32-6006",,33.56387460,131.28786850,"","","","",,,
